filename,book_title,image_url,encoded_filename
"01-100个圣诞老人.jpg","100个圣诞老人","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/01.jpg","01.jpg"
"01.jpg","01","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/01.jpg","01.jpg"
"02-14只老鼠过冬天.jpg","14只老鼠过冬天","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/02.jpg","02.jpg"
"02.jpg","02","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/02.jpg","02.jpg"
"03-14只老鼠过冬天1.jpg","14只老鼠过冬天1","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/03.jpg","03.jpg"
"03.jpg","03","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/03.jpg","03.jpg"
"04-一只红手套-1.jpg","一只红手套-1","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/04.jpg","04.jpg"
"04.jpg","04","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/04.jpg","04.jpg"
"05-一只红手套.jpg","一只红手套","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/05.jpg","05.jpg"
"05.jpg","05","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/05.jpg","05.jpg"
"06-一家好认真好认真的餐厅1.jpg","一家好认真好认真的餐厅1","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/06.jpg","06.jpg"
"07-三个和尚.jpg","三个和尚","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/07.jpg","07.jpg"
"08-下雪天.jpg","下雪天","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/08.jpg","08.jpg"
"09-下雪天的声音.jpg","下雪天的声音","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/09.jpg","09.jpg"
"10-不可思议的旅程.jpg","不可思议的旅程","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/10.jpg","10.jpg"
"11-乒：勇敢说出来.jpg","乒：勇敢说出来","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/11.jpg","11.jpg"
"12-书，是什么东西？.jpg","书，是什么东西？","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/12.jpg","12.jpg"
"13-亲一亲，晚安.jpg","亲一亲，晚安","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/13.jpg","13.jpg"
"14-你好！空间站.jpg","你好！空间站","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/14.jpg","14.jpg"
"15-停电以后.jpg","停电以后","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/15.jpg","15.jpg"
"16-先左脚，再右脚.jpg","先左脚，再右脚","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/16.jpg","16.jpg"
"17-兔子滑雪.jpg","兔子滑雪","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/17.jpg","17.jpg"
"18-兔子滑雪1.jpg","兔子滑雪1","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/18.jpg","18.jpg"
"19-冬日花园-1.jpg","冬日花园-1","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/19.jpg","19.jpg"
"20-冬日花园.jpg","冬日花园","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/20.jpg","20.jpg"
"21-冬至·饺子宴-1.jpg","冬至·饺子宴-1","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/21.jpg","21.jpg"
"22-冬至·饺子宴.jpg","冬至·饺子宴","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/22.jpg","22.jpg"
"23-冬至·饺子宴5.jpg","冬至·饺子宴5","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/23.jpg","23.jpg"
"24-冬至·饺子宴9.jpg","冬至·饺子宴9","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/24.jpg","24.jpg"
"25-凌晨4点，他们在做什么？-1.jpg","凌晨4点，他们在做什么？-1","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/25.jpg","25.jpg"
"26-凌晨4点，他们在做什么？.jpg","凌晨4点，他们在做什么？","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/26.jpg","26.jpg"
"27-勇气-1.jpg","勇气-1","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/27.jpg","27.jpg"
"28-勇气帽.jpg","勇气帽","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/28.jpg","28.jpg"
"29-千里江山图.jpg","千里江山图","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/29.jpg","29.jpg"
"30-和爸爸一起散步.jpg","和爸爸一起散步","https://ixdlwnzktpkhwaxeddzh.supabase.co/storage/v1/object/public/illustrations/images/30.jpg","30.jpg"