filename,book_title
"01-100个圣诞老人.jpg","100个圣诞老人"
"01.jpg","14只老鼠的摇篮曲"
"02-14只老鼠过冬天.jpg","14只老鼠过冬天"
"02.jpg","三个强盗"
"03-14只老鼠过冬天1.jpg","14只老鼠过冬天"
"03.jpg","圣诞夜的空袜子"
"04-一只红手套-1.jpg","一只红手套"
"04.jpg","有一天"
"05-一只红手套.jpg","一只红手套"
"05.jpg","最好喝的汤"
"06-一家好认真好认真的餐厅1.jpg","一家好认真好认真的餐厅"
"07-三个和尚.jpg","三个和尚"
"08-下雪天.jpg","下雪天"
"09-下雪天的声音.jpg","下雪天的声音"
"10-不可思议的旅程.jpg","不可思议的旅程"
"11-乒：勇敢说出来.jpg","乒：勇敢说出来"
"12-书，是什么东西？.jpg","书，是什么东西？"
"13-亲一亲，晚安.jpg","亲一亲，晚安"
"14-你好！空间站.jpg","你好！空间站"
"15-停电以后.jpg","停电以后"
"16-先左脚，再右脚.jpg","先左脚，再右脚"
"17-兔子滑雪.jpg","兔子滑雪"
"18-兔子滑雪1.jpg","兔子滑雪"
"19-冬日花园-1.jpg","冬日花园"
"20-冬日花园.jpg","冬日花园"
"21-冬至·饺子宴-1.jpg","冬至·饺子宴"
"22-冬至·饺子宴.jpg","冬至·饺子宴"
"23-冬至·饺子宴5.jpg","冬至·饺子宴"
"24-冬至·饺子宴9.jpg","冬至·饺子宴"
"25-凌晨4点，他们在做什么？-1.jpg","4点，他们在做什么？"
"26-凌晨4点，他们在做什么？.jpg","4点，他们在做什么？"
"27-勇气-1.jpg","勇气"
"28-勇气帽.jpg","勇气帽"
"29-千里江山图.jpg","千里江山图"
"30-和爸爸一起散步.jpg","和爸爸一起散步" 